"EventID","EventDescription"
"55","The file system structure on disk is corrupt and unusable. Please run the chkdsk utility on the volume."
"57","The system failed to flush data to the transaction log. Corruption may occur."
"50","(Delayed Write Failed) Windows was unable to save all the data for the file. The data has been lost. This error may be caused by a failure of your ocmputer hardware or network connection. Please try to save the file elsewhere."
"130","The file system structure on the volume has now been repaired."
"131","The file system structure on the volume cannot be corrected. Please run the chkdsk utility on the volume."
"134","The transaction resource manager on volume Windows encountered an error during recovery. The resource manager will continue recovery."
"136","The default transaction resource manager on a volume encountered an error while starting and its metadata was reset. The data contains the error code."
"137","The default transaction resource manager on a volume encountered a non-retryable error and could not start. The data contains the error code."
"133","Skipped posting of repair events.  Repair event posting will now be resumed."
"132","Too many repair events have occurred in a short period of time. Temporarily suspending posting of further repair events."
"138","The transaction resource manager encountered a fatal error and was shut down.  The data contains the error code."
"141","(Delayed Write Failed) Windows was unable to save all the data for the file; the data has been lost. This error may be caused if the device has been removed or the media is write-protected."
